epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2824.7,1.25569,1.07327,1.33793,0.78815,0.65287,0.76454,0.45489,1.31238,1.15108,1.4209,0.000643101,0.000643101,0.000643101
43,2870.13,1.26069,1.08808,1.37706,0.76627,0.66821,0.74766,0.46519,1.31169,1.18349,1.42363,0.000628101,0.000628101,0.000628101
44,2912.66,1.24708,1.06137,1.36223,0.79179,0.71454,0.79883,0.47302,1.36272,1.08008,1.48464,0.000612981,0.000612981,0.000612981
45,2975.62,1.26279,1.10339,1.36423,0.76525,0.70064,0.79643,0.48277,1.34431,1.15425,1.45568,0.000597754,0.000597754,0.000597754
46,3053.47,1.23827,1.06038,1.36148,0.76788,0.70587,0.76885,0.47769,1.32411,1.09006,1.41563,0.000582435,0.000582435,0.000582435
47,3101.42,1.23599,1.04675,1.33301,0.81204,0.65605,0.77663,0.4733,1.35157,1.09487,1.44803,0.00056704,0.00056704,0.00056704
48,3153.53,1.22809,1.03184,1.34847,0.79668,0.67516,0.77613,0.47019,1.30734,1.18785,1.42786,0.000551584,0.000551584,0.000551584
49,3211.95,1.19337,1.0276,1.29288,0.80818,0.6709,0.78659,0.48148,1.29403,1.08347,1.43149,0.000536081,0.000536081,0.000536081
50,3267.24,1.20065,1.01479,1.30516,0.87439,0.64292,0.77465,0.48089,1.32514,1.14794,1.43825,0.000520548,0.000520548,0.000520548
51,3323.55,1.17579,0.97154,1.29524,0.80497,0.70382,0.79926,0.49803,1.31757,1.03449,1.43156,0.000505,0.000505,0.000505
52,3386.08,1.21066,1.02211,1.32653,0.83783,0.65287,0.77528,0.48296,1.25462,1.09,1.39038,0.000489452,0.000489452,0.000489452
53,3445.84,1.20046,1.01907,1.29989,0.81521,0.67197,0.76656,0.46897,1.32638,1.11233,1.43608,0.000473919,0.000473919,0.000473919
54,3510.55,1.16464,0.97576,1.29486,0.78721,0.67158,0.78017,0.4734,1.35945,1.05534,1.48494,0.000458416,0.000458416,0.000458416
55,3567.74,1.19517,0.96517,1.30725,0.76965,0.69167,0.78182,0.47543,1.30527,1.03565,1.43779,0.00044296,0.00044296,0.00044296
56,3639.52,1.14584,0.94167,1.25708,0.7741,0.73119,0.79882,0.49958,1.27282,1.01506,1.38374,0.000427565,0.000427565,0.000427565
57,3711.2,1.17863,0.9899,1.29477,0.785,0.72293,0.81115,0.49602,1.32015,0.96207,1.43204,0.000412246,0.000412246,0.000412246
58,3782.67,1.15301,0.93468,1.26972,0.79333,0.70701,0.78611,0.49292,1.28018,1.00558,1.41562,0.000397019,0.000397019,0.000397019
59,3887.87,1.14505,0.92584,1.26991,0.86163,0.66242,0.79062,0.48761,1.32597,1.05033,1.43876,0.000381899,0.000381899,0.000381899
60,3961.5,1.13884,0.91298,1.26564,0.8341,0.6465,0.77377,0.47682,1.32052,1.09618,1.41818,0.000366899,0.000366899,0.000366899
61,4035.63,1.11659,0.93437,1.27221,0.85764,0.71338,0.81562,0.49525,1.28662,1.01257,1.43115,0.000352037,0.000352037,0.000352037
62,4128.58,1.14214,0.93827,1.2797,0.81643,0.70818,0.79837,0.5027,1.25394,1.01945,1.38044,0.000337325,0.000337325,0.000337325
63,4187.64,1.14773,0.96221,1.27639,0.76674,0.73277,0.81332,0.51486,1.23998,1.00133,1.37622,0.000322778,0.000322778,0.000322778
64,4256.49,1.11784,0.90169,1.26269,0.87842,0.67834,0.81613,0.51356,1.26959,1.00448,1.39057,0.000308412,0.000308412,0.000308412
65,4323.42,1.08886,0.88148,1.23686,0.84304,0.69108,0.81133,0.50111,1.26855,1.01283,1.4014,0.000294239,0.000294239,0.000294239
66,4379.68,1.08191,0.85755,1.224,0.86432,0.66242,0.79569,0.49735,1.27601,0.99581,1.41169,0.000280275,0.000280275,0.000280275
67,4437.52,1.07103,0.87872,1.23216,0.82004,0.72611,0.8189,0.49979,1.28358,0.93881,1.40855,0.000266532,0.000266532,0.000266532
68,4490.19,1.06893,0.84423,1.23944,0.79645,0.72293,0.82903,0.51064,1.27079,0.93602,1.38935,0.000253024,0.000253024,0.000253024
69,4546.66,1.09782,0.89077,1.24823,0.76608,0.71338,0.80816,0.50097,1.27751,1.0036,1.41615,0.000239766,0.000239766,0.000239766
70,4627.26,1.08614,0.89695,1.24562,0.84843,0.70064,0.82901,0.52083,1.2532,0.93887,1.37964,0.000226769,0.000226769,0.000226769
71,4697.15,1.08163,0.87512,1.21833,0.82161,0.70404,0.82117,0.51755,1.24413,0.95692,1.38555,0.000214046,0.000214046,0.000214046
72,4754.51,1.06528,0.85066,1.21798,0.87774,0.6879,0.82657,0.51709,1.25464,0.92868,1.40213,0.000201611,0.000201611,0.000201611
73,4813.13,1.05552,0.83452,1.20893,0.82196,0.7293,0.82054,0.51268,1.26068,0.93965,1.39424,0.000189475,0.000189475,0.000189475
74,4868.05,1.08868,0.87036,1.24263,0.84857,0.69108,0.82147,0.51842,1.24194,0.93274,1.37043,0.000177651,0.000177651,0.000177651
75,4930.19,1.05652,0.81853,1.2053,0.81371,0.72611,0.82087,0.50878,1.2621,0.93823,1.39465,0.000166149,0.000166149,0.000166149
76,4979.37,1.04387,0.82846,1.20332,0.83412,0.71656,0.82358,0.51938,1.24735,0.89389,1.37987,0.000154982,0.000154982,0.000154982
77,5045.53,1.04074,0.82132,1.20937,0.78261,0.75159,0.82704,0.52297,1.2416,0.90441,1.40239,0.000144161,0.000144161,0.000144161
78,5116.53,1.05661,0.83295,1.23824,0.82613,0.74204,0.83214,0.53466,1.2366,0.88503,1.36873,0.000133695,0.000133695,0.000133695
79,5202.23,1.00971,0.81031,1.20203,0.83542,0.72293,0.82965,0.53345,1.23336,0.8929,1.3836,0.000123596,0.000123596,0.000123596
80,5269.92,1.03208,0.8039,1.19133,0.84216,0.69666,0.83006,0.53402,1.21548,0.91661,1.38473,0.000113873,0.000113873,0.000113873
81,5345.92,1.0133,0.78099,1.18482,0.81135,0.71656,0.82405,0.53567,1.23173,0.90721,1.38751,0.000104537,0.000104537,0.000104537
